ID,parentID,basionymID,nameStatus,status,rank,extinct,temporalRangeStart,temporalRangeEnd,scientificName,authorship,nameReferenceID,namePublishedInPage,namePublishedInPageLink,link,referenceID,remarks
k,,,,,kingdom,,,,Animalia,,,,,,,
p,k,,,,phylum,,,,Chordata,,,,,,,
c,p,,,,class,,,,Mammalia,,,,,,,
o,c,,,,order,,,,Primates,,,,,,,
f,o,,,,family,,,,Hominidae,"Gray, 1825",Gray1825,,,https://en.wikipedia.org/wiki/Hominidae,,
f2,f,,,synonym,family,,,,Pongidae,"Elliot, 1913",,,,,,
f3,f,,,synonym,family,,,,Gorillidae,"Frechkop, 1943",,,,,,
f4,f,,,synonym,family,,,,Panidae,"Ciochon, 1983",,,,,,



sfp,f,,,,subfamily,,,,Ponginae,,,,,https://en.wikipedia.org/wiki/Ponginae,,

tp,sfp,,,,tribe,,,,Pongini,,,,,https://en.wikipedia.org/wiki/Pongini,,
g5,tp,,,,genus,true,,,Khoratpithecus,"Chaimanee et al. 2004",Chaimanee2004,,,https://en.wikipedia.org/wiki/Khoratpithecus,,
500,g5,,,,species,true,,,Khoratpithecus ayeyarwadyensis,"Jaeger,  & Chaimanee, 2011",Jaeger2011,,,https://en.wikipedia.org/wiki/Khoratpithecus,,
501,g5,,,,species,true,,,Khoratpithecus piriyai,"Chaimanee et al. 2004",,,,https://en.wikipedia.org/wiki/Khoratpithecus,,
502,g5,503,,,species,true,12Ma,11Ma,Khoratpithecus chiangmuanensis,"(Chaimanee et al., 2003)",,,,https://en.wikipedia.org/wiki/Khoratpithecus,,
503,502,,,synonym,species,true,,,Lufengpithecus chiangmuanensis,"Chaimanee et al., 2003",Chaimanee2003,,,https://de.wikipedia.org/wiki/Lufengpithecus_chiangmuanensis,,

g6,tp,,,,genus,,,,Pongo,"Lacépède, 1799",,,,https://en.wikipedia.org/wiki/Orangutan,,
600,g6,,,,species,true,,,Pongo hooijeri,"Schwartz et al. 1995",Schwartz1995,,,https://en.wikipedia.org/wiki/Pongo_hooijeri,,
601,g6,,,,species,true,,,Pongo weidenreichi,"Hooijer, 1948",,,,https://en.wikipedia.org/wiki/Pongo_weidenreichi,,
601b,601,,,synonym,subspecies,,,,Pongo pygmaeus weidenreichi,"(Hooijer, 1948)",,,,https://en.wikipedia.org/wiki/Pongo_weidenreichi,,
601c,601,,,synonym,subspecies,,,,Pongo pygmaeus ciochoni,"(Schwartz, Long, Cuong, Kha & Tattersall, 1995)",,,,https://en.wikipedia.org/wiki/Pongo_weidenreichi,,
601d,601,,,synonym,subspecies,,,,Pongo pygmaeus fromageti,"(Schwartz, Long, Cuong, Kha & Tattersall, 1995)",,,,https://en.wikipedia.org/wiki/Pongo_weidenreichi,,
601e,601,,,synonym,subspecies,,,,Pongo pygmaeus kahlkei,"(Schwartz, Long, Cuong, Kha & Tattersall, 1995)",,,,https://en.wikipedia.org/wiki/Pongo_weidenreichi,,
602,g6,,,,species,false,,,Pongo abelii,"Lesson, 1827",Lesson1827,32,,https://en.wikipedia.org/wiki/Sumatran_orangutan,,
603,g6,,,,species,false,,,Pongo pygmaeus,"(Linnaeus, 1760)",,,,https://en.wikipedia.org/wiki/Bornean_orangutan,,
603-1,603,,,,subspecies,false,,,Pongo pygmaeus morio,"(Owen, 1837)",,,,https://en.wikipedia.org/wiki/Bornean_orangutan,,
603-2,603,,,,subspecies,false,,,Pongo pygmaeus pygmaeus,,,,,https://en.wikipedia.org/wiki/Bornean_orangutan,,
603-3,603,,,,subspecies,false,,,Pongo pygmaeus wurmbii,"(Tiedemann, 1808)",,,,https://en.wikipedia.org/wiki/Bornean_orangutan,,
603b,603,,,synonym,species,,,,Pongo agris,"(Schreber, 1799)",,,,https://en.wikipedia.org/wiki/Bornean_orangutan,,
603c,603,,,synonym,species,,,,Pongo batangtuensis,"(Selenka, 1896)",,,,https://en.wikipedia.org/wiki/Bornean_orangutan,,
603d,603,,,synonym,species,,,,Pongo borneensis,"Röhrer-Ertl, 1983",,,,https://en.wikipedia.org/wiki/Bornean_orangutan,,
